question,answer
What is Offshore Banking Account?," Account that can be opened by Residents outside Bangladesh in foreign currency. For example: Non-resident Bangladeshi nationals (NRBs), Persons of Bangladeshi origin (Bangladeshi holding foreign citizenship), Foreign nationals, Companies/Firms registered and operating abroad, Foreign institutional investors etc. can open this OBU account."
Who can open OBU Account?," Person resident outside Bangladesh including NRBs Foreign nationals Persons of Bangladeshi origin (Bangladeshi holding foreign citizenship) Companies/Firms registered and operating abroad Foreign institutional investors Type A units in EPZs (Export Processing Zones, Private EPZs, Economic Zones and Hi-tech parks) in Bangladesh Note: All individuals will have to be of age 18 & above."
Can customers open a joint OBU account?," Yes, customers can open a joint OBU account. But in such cases both the account holders must individually qualify to open the account as per question 1 or 2 above."
What type of account can a customer open?," A customer can open a Fixed Deposit account in foreign currency (USD or EUR) under this program. To credit the funds for the Fixed Deposit account, the customer has to open a current account first. This current account will help to facilitate fund transfers, remittances and other account operations. So, basically the customer will have to have both Current and Fixed deposit account(s) in OBU."
Documents required to open OBU account," Document check list for Individuals Copy of valid photo ID of applicant, i.e., passport, respective foreign country’s ID, etc. If the photo ID is a Bangladeshi passport, additional documents such as resident visa, foreign resident card (i.e., green card), work permit, driving license (issued by foreign authority) or any other document supporting the residency status abroad is required. Passport sized photograph: applicant – 2 copies, and nominee 1 copy attested by applicant. Address verification document required only if the declared address is different from the address in the applicant’s Photo ID document. This can be utility bill, driving license (issued by foreign authority) etc. Document check list for OBU account for companies/firms registered and operating abroad. Extract of Resolution/Board Resolution Trade License or similar document Certificate of Incorporation Memorandum and Articles of Association Updated Schedule X & Form XII or any recent document that proves shareholding information and names of the Board of Directors with respective designation. Photo identification of shareholders(Top 5 shareholders’ details required when shareholders are more than 5. If the shareholders are less than 5, then all shareholders’/ all authorized signatories’ for the account/ the beneficial owners’ of the Company) 2 copy passport size photo of each shareholder(Top 5 shareholders’ details required when shareholders are more than 5. If the shareholders are less than 5, then all shareholders’/ all authorized signatories’ for the account/ the beneficial owners’ of the Company)"
Is there a physical OBU account opening form?," For individual OBU account opening no physical form will be required. Customer can open account online through the customerservice portalin our website. If the customer is physically present at branch, they can use the regular account opening form. For institutional accounts, the customer can download the formhere."
Can an existing City Bank customer open OBU account?," Yes, any existing City Bank customer can open OBU account if he or she qualifies for OBU account as per question 1 or 2 above."
In which currency can a customer open OBU account?," Currently at City Bank, a customer can open OBU account in USD & EUR currency only."
Is there any minimum deposit threshold required to open the account?," For maintaining a current account, no minimum balance is required. For Fixed deposit account the minimum deposit amount is USD/EUR 5,000."
What are the tenors available to open Fixed deposit account?," The available tenors are 3 months, 6 months, 1 year, 2 years, 3 years, 4 years and 5 years."
How will the customer use the balance of the current account?, The balance of the account can be used for any of the following purposes: Transferring to on-shore banking BDT accounts to meet necessary payments and investments. Making outward remittances of the entire balance as and when necessary.
Can a customer open a Fixed deposit account without opening a current account?," To open a Fixed deposit account, opening a current account is a mandatory requirement."
Is nominee mandatory for OBU account?," Yes, nominee is required for Individual accounts (both current and Fixed deposit) only."
Can a customer add multiple nominees to the OBU account?," Yes, the customer can add multiple nominees to the account. For each nominee, we will need photo identification document and one copy passport sized photograph."
Can a customer open OBU account in any branch?," Yes, the customer can physically come to open OBU account in any City Bank branch during his/her visit to Bangladesh."
Is there any maximum deposit limit for OBU account?," No, there is no maximum limit for OBU account."
Can a customer avail Credit card or Debit card against OBU account?," Since the OBU account is opened for the purpose of Fixed Deposit only, the bank will not issue any debit/credit card against this account."
Can a customer open multiple currency OBU account?," Yes, a customer can open OBU accounts in both USD and EUR as per their requirement."
Can a customer open OBU account in different banks?," Yes, a customer is free to open multiple OBU accounts in any bank they desire."
Can a customer open OBU account in Islamic module?," No, currently this option is not available with City Bank."
How can the account holder credit funds in his account?, Fund can be credited by the account holder through foreign inward remittances received through official banking channels only.
Who can send funds (originator) to the OBU account?, Anyone can send funds to the OBU account from any country. There are no restrictions on who can send funds. But the Fixed Deposit account will be opened in the name of the current account holder (Beneficiary). For example: The current account is opened in the name Mr. Alam.  Mr. Alam can remit funds from abroad to his account. Also anyone else like Mr. Hasan or Mr. Ahmed both can send funds to the account of Mr. Alam. But the Fixed deposit account will be in the name of Mr. Alam only.
Is there any cheque book facility available against OBU account?," No, there is no cheque book facility available. The account can be operated by sending remittance or transfer instructions to the bank."
Is it possible to deposit Dollar/EUR in cash form?, Cash deposit is not possible in OBU account. Funds can only be credited by inward remittances received through official channels.
Is it possible to withdraw any amount from the account in cash form?, Cash withdrawal is not possible from OBU account.
"Are OBU customers allowed to avail Citytouch, the internet banking app of City Bank?"," Yes, Citytouch can be used by Individual account holders for viewing purpose only. No transaction can be done through Citytouch. They may use it for sending some instructions to the bank."
Is there any limit on the number of transactions to a single OBU account?, No there is no limit on the number of transactions in the account.
What is the procedure to transfer the balance from foreign currency OBU account to an onshore local currency (BDT) account?, OBU customers can transfer funds from foreign currency OBU account to any local currency account by applying to the bank through the remittance requestform.
What is the process for Fixed Deposit Encashment?," You can download the Fixed Deposit Encashment formhereand fill out and email the signed form tocity.obu@citybankplc.comfrom your registered email address.However, if you have already given instruction for encashment at time of opening the Fixed Deposit in the Fixed Deposit opening Form, the deposit will be encashed as per your instructions."
Is there any fees and charges for maintaining OBU account?, There are no fees and charges for maintaining OBU account and there is no hidden fee also. Details of the fees and charges are given below: Type of Charge Amount Account Maintenance Fee Free Closing of Account Free SMS Alert (Annual Fee FCY Account) Free Foreign Telegraphic Transfer Free SWIFT Charge for remittance(Through Correspondence) Above USD $1000/ GBP 700/ SGDany amount – Tk. 800; min Tk. 500 (equivalent USD) Correspondent Bank Fee At Actual Duplicate Statement Free Various Purpose Certificate Free Solvency Certificate with Balance Free Solvency Certificate without Balance Free Certificate of Inward Remittance Free
Is OBU account an interest bearing account?," Yes, the bank is offering attractive interest rates on Fixed Deposit accounts. However, Current account is a non-interest bearing account. Pleaseclick hereto know the current offers of Fixed Deposit accounts."
Is interest rate fixed in OBU Fixed deposit account?," The interest rate is based on the benchmark rate of the respective currencies which may change on daily basis. Based on the benchmark rate of the respective currencies, the interest rate may vary. For the Fixed Deposit, the interest rate on the date of booking will be applicable till the maturity of the deposit. Our prevailing deposit interest rates are available in our website."
What is a “Benchmark Rate”?, Benchmark or reference rate is a rate that reflects the cost of borrowing in a particular currency based on international demand and supply.
What are the benchmark rates of the respective currencies?, Currency Code Benchmark US Dollar Secured OvernightFinancing Rate (SOFR) Euro Euro Short-term Rate (ESTR) 
How can I find out the interest rate for Fixed deposits?," To know the interest rates of different tenors that are applicable today, pleaseclick here."
What interest rate will be applied for premature encashment of OBU Fixed deposit?," If the deposit is kept for less than 3 months, no interest will be paid. For premature encashment after 3 months, applicable rate will the interest rate corresponding to the nearest/immediate 

  lower tenor’s prevailing published interest rate or the FD booking interest rate, whichever is lower.For example, if you open a Fixed Deposit for 3 years at 8% and want to encash/close after 1 year, 1 year’s prevailing fixed deposit rate will be applicable. But if at that time the 1 year interest rate is higher than 8%, then it will encashed at 8%."
What information is required to send remittances to any City Bank account from abroad?," To send remittances, please use below information for beneficiary- SWIFT Code of City Bank                 : CIBLBDDH Bank Name                                       : City Bank PLC Customer’s OBU Account Number    : ………………. Account Name                                  : ……………………"
Through which banks can remittances be sent to City Bank PLC?," You can send remittance from any bank in the world to the account in City Bank.When you are sending the remittance, if your bank from where you are sending the fund requests for bank account information of City Bank i.e., the correspondent foreign banks (intermediary bank) of City Bank, you can share the bank details from this link for convenience:here."
What will be the conversion rate if a customer wants to convert the foreign currency balance to BDT to an on-shore bank account?, The bank will use the prevailing TT clean Buying rate of the bank on the date of the conversion. The exchange rates are availablehere
Is the balance in OBU account freely transferable abroad?," Yes, the entire balance of OBU account is freely transferable abroad."
"If I have OBU account in one currency, can I send outward remittance in other currency?"," Yes, you can. In such cases the cross currency conversion will take place."
Can customers transfer the balance of OBU account to another of his OBU account?," Yes, the customer can transfer the balance of OBU account to another OBU account."
Is remittance incentive paid by the government applicable for OBU deposits?," No, remittance incentive is not applicable to OBU deposits or encashment."
What is the SWIFT code of City Bank PLC?, Our SWIFT Code isCIBLBDDH. It is also known as BIC (Bank Identification Code).
Is there any tax or any duty applicable on the deposit or interest?," As per new Offshore Banking Act passed by National Parliament of Bangladesh on 14 March 2024, depositors are exempted from any tax on the balance of OBU account and on any interest paid. Also no excise duty is applicable on the balance of the account."
How is City Bank offering such high-interest rates on OBU account deposits?," Offshore banking basically is dependent on foreign borrowings @ 2%-3% margin on SOFR/benchmark rates. City Bank aims to expand its long-term customer deposit base by providing competitive deposit rates aligned with regulatory guidelines. Therefore, City Bank is offering these competitive rates instead of borrowing from abroad and it will save cost to the bank as well as reduce market dependency."
